category,topics_count,total_heat,avg_heat,avg_minutes,heat_share,count_share
社会,99726,50279919703,504180.6520165253,145.2782423841325,0.4336015239882573,0.39203861969195447
体育,23244,12771429978,549450.6099638616,89.30295990363105,0.11013763615138993,0.0913758265258788
明星,28645,12093687140,422191.9057427125,136.983417699424,0.1042929504564883,0.11260800855419886
明星-内地,10595,4289207665,404833.19159981125,140.66946672958943,0.03698906026962385,0.04165061443992798
时事,6782,3540704154,522073.7472721911,148.91049837805957,0.030534152127421773,0.0266611106306363
财经,8348,3528577788,422685.40824149497,112.68160038332535,0.03042957736260317,0.0328173033831542
游戏,12253,3306811831,269877.73043336323,66.6716722435322,0.028517122897840433,0.04816847368876239
综艺,8082,3275263884,405254.13066072756,109.69896065330364,0.028245061248205684,0.03177161546989126
电视剧,8325,2796131368,335871.6357957958,116.47387387387387,0.02411314158013326,0.03272688675907508
搞笑,6992,2084208260,298084.70537757437,140.9784038901602,0.017973693736646777,0.027486653720054408
综艺-内地综艺,4011,1710570703,426469.883570182,127.70082273747195,0.014751536360671834,0.015767873007885902
电视剧-国产剧,4897,1605156600,327783.66346742905,122.68225444149479,0.013842471350611209,0.019250878613716594
汽车,1860,1362226502,732379.8397849463,92.78817204301075,0.011747502596929372,0.007311953077703261
电影,2986,1320474401,442221.8355659745,110.43034159410583,0.011387442860751404,0.011738436500011794
其他,1501,1063548370,708559.8734177215,119.1292471685543,0.009171776661363913,0.005900667510555158
互联网,2081,987701166,474628.14320038445,109.74531475252283,0.008517689235629898,0.008180738900376605
明星-日韩,1916,787142091,410825.72599164926,139.7901878914405,0.006788117647541493,0.00753209790154809
音乐,1973,669929171,339548.49011657375,95.17840851495185,0.005777302573783902,0.007756173882961577
电影-华语电影,1534,603002133,393091.35136897,128.77053455019558,0.005200140441381202,0.006030395710320861
数码,996,595344241,597735.1817269076,90.03714859437751,0.005134100685125598,0.003915432938383036
情感,2178,562744165,258376.56795224978,122.33654729109274,0.004852965736636617,0.0085620611845364
军事,1165,513459161,440737.4772532189,102.98369098712446,0.004427944118256978,0.004579798567486182
电商,334,452368427,1354396.488023952,89.61377245508982,0.003901112820187487,0.0013130066279316607
音乐-华语音乐,1636,442522647,270490.6155256724,72.84657701711491,0.0038162052619003886,0.006431373782323943
时尚,1003,438528178,437216.5284147557,85.78065802592224,0.0037817579545825824,0.00394295104136364
科普,1264,433506456,342963.9683544304,149.14715189873417,0.003738451872848418,0.004968983166783291
健康,1197,426727079,356497.142021721,153.4795321637427,0.003679988211485101,0.004705595609683227
科技,755,371614817,492205.05562913907,102.57086092715232,0.003204713769226708,0.0029680239643365383
校园,659,323241862,490503.5842185129,100.67374810318664,0.002787557434616175,0.0025906328377454024
旅游,566,312519468,552154.5371024736,77.57067137809187,0.002695090175188051,0.0022250351838602393
明星-港台,602,311714081,517797.4767441861,180.98006644518273,0.0026881447179824087,0.0023665568563319157
美食,427,300149303,702925.7681498829,93.29742388758783,0.002588412948420997,0.0016786042818168238
动漫,889,296473775,333491.31046119233,57.0933633295838,0.0025567161089734506,0.0034947990785366657
教育,477,239456022,502004.23899371066,103.71069182389937,0.002065009186185527,0.001875162160249707
公益,522,226458172,433827.91570881224,82.12068965517241,0.0019529189600701797,0.002052064250839302
美妆,247,205000934,829963.2955465587,85.92307692307692,0.0017678770755099778,0.0009709959194584437
音乐-日韩音乐,368,98213023,266883.214673913,80.7961956521739,0.0008469646868937397,0.0014466659852660215
星座,354,92155614,260326.59322033898,152.27683615819208,0.0007947270980245699,0.0013916297793048142
读书,217,83762899,386004.14285714284,113.57142857142857,0.0007223504109515796,0.0008530611923987137
明星-其他,201,82281403,409360.2139303483,141.4129353233831,0.0007095743578636472,0.0007901626713001911
健康-医疗,133,62029860,466389.92481203005,82.32330827067669,0.0005349300871531315,0.0005228439566314697
育儿,74,61218978,827283.4864864865,116.13513513513513,0.0005279372424339768,0.00029090566008066737
运动健身,134,56991168,425307.22388059704,101.49253731343283,0.0004914776603590393,0.0005267751142001274
生活记录,124,56262405,453729.07258064515,129.3709677419355,0.0004851929894746624,0.0004874635385135507
财经-其他,123,47558196,386652.0,126.6178861788618,0.0004101300556075043,0.00048353238094489304
电视剧-韩剧,158,47456769,300359.2974683544,157.56962025316454,0.0004092553743822093,0.0006211228958479114
政务,68,46434687,682863.0441176471,156.05882352941177,0.0004004411933839345,0.00026731871466872134
萌宠,212,44203729,208508.15566037735,70.18396226415095,0.00038120196638301946,0.0008334054045554254
历史,56,41995121,749912.875,103.92857142857143,0.0003621554802241421,0.00022014482384482935
电影-美国电影,125,41067378,328539.024,97.976,0.00035415485530179485,0.0004913946960822084
明星-欧美,102,40644416,398474.6666666667,138.12745098039215,0.00035050733619531194,0.000400978072003082
家居,46,36787506,799728.3913043478,45.80434782608695,0.0003172463034855527,0.0001808332481582527
健康-养生,88,35142481,399346.375,159.39772727272728,0.00030306001696775176,0.0003459418660418747
动漫-国产动漫,114,33408242,293054.7543859649,78.95614035087719,0.00028810437109954635,0.000448151962826974
财经-产业公司,67,31751401,473901.50746268657,161.59701492537314,0.0002738161863361295,0.0002633875571000637
地区,58,28997710,499960.5172413793,176.01724137931035,0.00025006903993562507,0.00022800713898214468
法律,35,28271098,807745.6571428571,124.48571428571428,0.00024380291874034088,0.00013759051490301835
IT技术,68,25474814,374629.6176470588,120.8970588235294,0.0002196884608997959,0.00026731871466872134
职场,51,24387645,478189.1176470588,103.54901960784314,0.00021031298579925265,0.000200489036001541
直播,35,23245833,664166.6571428571,99.34285714285714,0.00020046628305524371,0.00013759051490301835
综艺-日韩综艺,69,22688924,328824.9855072464,146.55072463768116,0.00019566363833048756,0.000271249872237379
摄影,48,21592480,449843.3333333333,34.75,0.00018620817793643654,0.00018869556329556802
动漫-日本动漫,81,21424959,264505.6666666667,90.85185185185185,0.00018476351849129222,0.00031842376306127104
财经-金融市场,42,14077563,335180.0714285714,132.0,0.00012140140252603664,0.000165108617883622
财经-宏观经济,33,13001369,393980.8787878788,99.93939393939394,0.00011212057309624787,0.00012972819976570302
健康-其他,28,12642234,451508.35714285716,111.64285714285714,0.00010902348216536813,0.00011007241192241468
动漫-其他,27,11852555,438983.51851851854,83.11111111111111,0.00010221348684548513,0.00010614125435375701
创意征集,18,11065166,614731.4444444445,91.11111111111111,9.542323991612857e-05,7.0760836235838e-05
房产,22,10858364,493562.0,95.63636363636364,9.363983089532082e-05,8.648546651046868e-05
艺术,21,10557454,502735.90476190473,73.9047619047619,9.104485788514075e-05,8.2554308941811e-05
航空,29,9248599,318917.2068965517,90.51724137931035,7.975761784911919e-05,0.00011400356949107234
美图,24,7832933,326372.2083333333,136.20833333333334,6.754926631068714e-05,9.434778164778401e-05
电影-欧洲电影,26,7639955,293844.42307692306,103.57692307692308,6.588507202814907e-05,0.00010221009678509934
音乐-欧美音乐,18,6894241,383013.3888888889,182.27777777777777,5.945421993511983e-05,7.0760836235838e-05
秀场,6,6879709,1146618.1666666667,344.1666666666667,5.9328899580914465e-05,2.3586945411946003e-05
财经-保险,4,6820732,1705183.0,72.25,5.882029659922097e-05,1.5724630274630667e-05
电影-韩国电影,10,6515652,651565.2,114.7,5.618936254602985e-05,3.931157568657667e-05
音乐-其他,25,6201534,248061.36,76.0,5.34804870283942e-05,9.827893921644168e-05
电视剧-其他,11,5889240,535385.4545454546,158.27272727272728,5.078734123316912e-05,4.324273325523434e-05
综艺-其他,16,5762240,360140.0,194.125,4.969212481532701e-05,6.289852109852267e-05
电影-日本电影,24,5725410,238558.75,56.208333333333336,4.93745120541528e-05,9.434778164778401e-05
行业,5,4857207,971441.4,256.2,4.188734528549315e-05,1.9655787843288333e-05
动漫-cosplay,14,4008495,286321.0714285714,83.57142857142857,3.4568264053842646e-05,5.503620596120734e-05
影视,8,3722464,465308.0,173.0,3.210160383957653e-05,3.1449260549261335e-05
电视剧-美剧,8,2576061,322007.625,106.25,2.2215309453250144e-05,3.1449260549261335e-05
电影-其他,10,2448437,244843.7,60.5,2.111471181458336e-05,3.931157568657667e-05
财经-理财资讯,8,2227582,278447.75,37.875,1.9210113216453283e-05,3.1449260549261335e-05
婚庆,6,1722543,287090.5,214.16666666666666,1.485478247274807e-05,2.3586945411946003e-05
艺术-戏剧,9,1695903,188433.66666666666,85.77777777777777,1.4625045737540874e-05,3.5380418117919e-05
艺术-文学,6,1580274,263379.0,82.33333333333333,1.3627889995976578e-05,2.3586945411946003e-05
收藏,3,1438269,479423.0,63.666666666666664,1.2403274189553987e-05,1.1793472705973001e-05
动漫-动漫资讯,8,1330772,166346.5,101.75,1.1476246793736873e-05,3.1449260549261335e-05
CP,5,1284980,256996.0,120.0,1.1081347973218558e-05,1.9655787843288333e-05
国学,2,1188403,594201.5,33.0,1.0248491941833223e-05,7.862315137315334e-06
财经-银行,3,1126010,375336.6666666667,214.66666666666666,9.710430225625167e-06,1.1793472705973001e-05
艺术-书法,2,825462,412731.0,83.0,7.118579013423506e-06,7.862315137315334e-06
网络自制,2,641737,320868.5,71.5,5.534180301864121e-06,7.862315137315334e-06
艺术-建筑,3,582440,194146.66666666666,164.66666666666666,5.022817719747713e-06,1.1793472705973001e-05
综艺-港台综艺,3,553471,184490.33333333334,102.66666666666667,4.772996267712531e-06,1.1793472705973001e-05
电影-印度电影,2,542971,271485.5,63.5,4.682446878835821e-06,7.862315137315334e-06
宗教,2,535868,267934.0,123.0,4.621192373198557e-06,7.862315137315334e-06
艺术-舞蹈,2,532525,266262.5,58.5,4.592363172530477e-06,7.862315137315334e-06
闲趣,3,513894,171298.0,26.666666666666668,4.431694061657907e-06,1.1793472705973001e-05
设计,1,171955,171955.0,19.0,1.4828971585042547e-06,3.931157568657667e-06
电视剧-日剧,1,167296,167296.0,112.0,1.4427191010969602e-06,3.931157568657667e-06
动漫-欧美动漫,1,106439,106439.0,82.0,9.179034669188703e-07,3.931157568657667e-06
